car_ratio,Jongno,Sejong,Yulgok,Samil,Pirun
Business as Usual,60.66,61.27,62.51,62.39,63.58
50% Reduction,57.98,59.58,60.21,61.15,61.34
90% Reduction,47.92,49.75,48.09,51.01,47.85
