"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"201802","5호선","마장","1","0","1953","595","4578","3512","13518","6357","19596","15117","10612","9551","8285","7543","8329","8075","10087","8116","9902","8208","9606","7735","9618","7606","9524","8464","10908","9705","12742","15000","8433","13392","5593","7922","5009","7189","3953","7028","1593","4640","216","1421","2","27","0","4","0","0","20180303"
"201802","6호선","연신내","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","1","0","2","0","1","0","0","0","0","0","1","0","1","0","4","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","20180303"
"201802","6호선","구산","3","0","4335","88","9211","1897","25994","4431","31796","6837","18252","5292","12248","5447","12246","6086","13323","6672","12089","7896","10051","8637","10008","9218","10229","11949","10405","12613","9803","16815","6352","19542","4499","11364","3948","8627","3981","9028","1268","6507","236","2314","1","14","0","1","0","0","20180303"
"201802","8호선","송파","1","0","1545","1096","3724","9197","9031","6806","14167","15066","8407","8064","6267","6047","6615","4799","7527","5768","7393","6362","7226","7475","7663","6682","11515","7714","13720","8397","13839","11851","6934","10348","4278","6429","3703","6146","3135","5136","1106","3636","149","859","1","90","0","1","0","0","20180303"
"201802","경강선","이천","0","0","619","10","1577","615","5407","3542","5457","5473","4467","3614","4618","2743","4444","3227","4273","3420","4401","3551","3808","3946","4134","4228","4153","4471","4460","5322","6116","6111","3572","6086","2729","5332","2286","3150","1319","3819","453","2503","0","16","0","0","0","0","0","0","20180303"
"201802","경강선","부발","0","0","410","4","1701","1073","3582","2975","3563","3252","2909","1372","2931","1075","2414","1262","2878","1353","2497","1649","2004","1706","2401","1847","2357","2412","3882","2858","4991","2950","1733","4011","1802","2838","1133","2492","1041","2359","359","2021","3","939","0","0","0","0","0","0","20180303"
"201802","경강선","세종대왕릉","0","0","117","21","299","49","670","253","736","315","587","295","657","243","578","396","521","418","466","386","489","545","496","508","448","564","495","498","437","439","182","834","102","416","82","385","27","202","25","283","0","89","0","0","0","0","0","0","20180303"
"201802","경강선","여주","10","0","839","3","1924","315","3902","1439","4186","2012","4019","2224","3650","2098","3524","2450","3563","3283","3599","2940","3736","3017","3852","3159","3875","4332","3196","3585","3055","3612","2220","5064","1426","4172","935","2288","567","2483","166","2331","4","1011","0","0","0","0","0","0","20180303"
"201802","경부선","서울역","3","0","43","191","88","1506","5605","2089","15232","2561","8873","1941","10474","1300","16611","1178","12268","1343","10329","1340","6039","1258","10921","1505","11841","1863","13536","2348","11810","3419","10793","2695","10929","1332","11365","1330","7309","888","3812","237","1561","55","89","9","0","0","0","0","20180303"
"201802","경원선","신이문","663","1","7155","1507","12778","3281","34609","3926","41261","7932","23493","5241","15896","5415","14284","6322","14677","8026","14206","9120","12101","10787","10761","12894","10343","15128","10269","18221","10286","25814","6979","26904","4548","17273","3593","15503","2619","15528","1136","11086","69","3144","0","22","0","0","0","0","20180303"
"201802","경의선","공덕","5","0","488","61","1481","1044","4076","4574","4610","14048","3250","5414","2572","2705","2858","2422","3102","2789","3588","2894","3382","2556","3566","2743","4082","3203","5088","4018","11837","5665","5931","4718","4461","3001","4866","2626","4175","2361","2097","1663","239","643","2","9","0","0","0","0","20180303"
"201802","경의선","서강대","0","0","392","99","967","1073","1888","2519","2705","5853","2073","5125","2056","3365","1984","2444","2443","3224","2932","3343","3814","3042","3130","2903","3525","2820","4349","3481","5221","3609","3554","2953","2914","1960","3433","1650","3240","1463","1607","1146","153","431","1","1","0","0","0","0","20180303"
"201802","경의선","홍대입구","8","0","457","98","724","646","1184","1737","1595","4164","1207","3162","1145","2943","1165","3336","1412","4501","1620","4867","1850","5098","2232","4376","2971","4731","3689","5292","4981","5521","3965","4528","3867","2821","4312","2333","4990","1746","2653","1262","251","624","0","2","0","0","0","0","20180303"
"201802","경의선","가좌","1","0","1993","125","5303","2172","14369","2644","18373","6220","9394","5629","7002","4797","6867","4746","7508","5833","6789","6462","6367","7219","6661","7113","6918","7929","7374","8810","7699","12632","4978","10910","3382","8315","2588","5369","2185","5666","821","3458","77","1502","0","11","0","0","0","0","20180303"
"201802","경의선","디지털미디어시티","0","0","718","174","1522","815","5307","1454","5503","4338","2847","2310","2559","1950","2646","1993","2828","2096","3100","2253","2828","2419","2838","2474","3019","2727","3969","3294","4747","5413","2844","4797","1906","3211","1665","2666","1297","3021","727","1899","133","753","2","6","0","0","0","0","20180303"
"201802","경의선","수색","0","0","859","237","1525","2177","2647","3307","3350","14358","2489","7418","2176","2978","2252","2666","2621","2597","2631","2848","3003","3236","2870","2694","3450","3021","5280","3130","12661","3285","5274","2452","3192","1761","2636","1273","1920","1351","830","1050","105","487","0","2","0","0","0","0","20180303"
"201802","1호선","서울역","783","38","9226","7219","12088","40703","32021","88706","60980","193948","47714","135748","56250","71738","79661","70271","90295","80970","88517","81322","78032","78625","100274","80074","106773","82184","133485","88997","199480","92891","118058","76330","87805","50402","89089","44449","63970","35975","27882","18855","5497","7452","349","550","0","3","0","0","20180303"
"201802","경의선","화전","0","0","421","198","882","644","2376","1194","3900","2875","2202","2860","1787","2491","1969","2131","2507","2085","2225","2065","2199","2019","2107","2154","3050","2238","3708","2472","3823","3185","2014","2327","1382","1440","1213","1346","867","1565","424","1002","79","532","0","3","0","0","0","0","20180303"
"201802","경의선","강매","0","0","1188","139","4138","804","13136","977","12523","2860","5401","1256","3895","1137","3660","1264","3191","1550","3084","1951","2418","2183","2330","2949","2312","3701","2417","4141","3372","7427","1346","8364","935","5070","690","4297","484","4664","229","3104","29","1151","0","16","0","0","0","0","20180303"
"201802","경의선","행신","2","0","2605","1012","9842","3954","34440","4074","28900","8977","13244","5904","9642","4408","11409","5460","10393","6131","9245","7008","7833","7257","7387","8569","8858","11641","11221","13317","10984","24701","6867","27305","5852","13467","4589","12129","4717","13075","1788","8605","594","3055","1","52","0","0","0","0","20180303"
"201802","경의선","능곡","0","0","1919","326","5180","1583","13482","2086","12993","4472","7917","3444","5659","3147","5353","3284","5237","3237","5825","3849","4334","3872","4069","5085","4649","5808","4686","6468","5213","9685","3294","9217","2139","6314","1873","5325","1316","5538","591","4341","64","1682","0","40","0","0","0","0","20180303"
"201802","경의선","곡산","0","0","133","108","504","287","1378","871","1231","1817","761","600","708","449","644","586","610","498","709","636","744","541","753","752","909","671","1053","871","1506","1021","594","1139","355","617","370","547","256","401","78","378","9","136","1","0","0","0","0","0","20180303"
