"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"201801","2호선","을지로입구","157","68","3134","3534","3525","37688","8985","136387","15055","355320","19757","164819","26109","88622","36859","94437","44782","73891","60197","76590","70128","68466","84916","64351","98773","62575","132566","64857","307933","73312","172341","46893","154673","24134","127983","19359","91759","16395","42975","10430","5208","3836","6","944","0","0","0","0","20180203"
"201801","2호선","을지로3가","9","1","1135","1549","2410","16464","5174","70329","9885","162021","12333","85305","16104","38649","20942","31273","22742","25779","26746","29074","30379","26237","35071","23301","38999","21656","62449","21925","137023","24216","76133","15958","43942","8378","42346","7474","31457","6740","15325","4870","2534","1470","0","55","0","0","0","0","20180203"
"201801","2호선","을지로4가","11","5","796","926","1737","10603","2983","22409","5813","79713","8248","46342","11125","26295","14246","24082","17444","22405","19915","21240","24393","21144","26127","18720","30019","15735","42351","13286","75566","11806","43030","7441","18497","4482","13944","4362","9518","4351","4628","3062","895","895","0","22","1","1","0","0","20180203"
"201801","2호선","동대문역사문화공원","378","18","11355","949","6099","10553","8060","20625","13508","60605","14244","40526","15052","34192","17406","31791","23267","33717","25681","39403","30416","36549","35355","32867","40156","30952","50620","33026","61141","39361","43838","47987","31718","32330","30148","23949","27123","18745","19417","13174","2918","4290","2","88","0","0","0","0","20180203"
"201801","2호선","신당","71","34","5866","1448","11610","9553","28232","15818","45225","40894","27271","27370","19860","21326","20115","21400","22931","22695","25221","25082","25205","26202","26624","26092","29853","27800","33718","33537","42396","46193","26407","38949","18825","23585","17321","21327","12874","21111","6836","14323","1037","4565","2","47","0","0","0","0","20180203"
"201801","2호선","상왕십리","59","47","5561","706","13666","5264","36812","10541","62361","37925","33428","20588","21447","14109","20430","12962","21689","14797","22031","16720","19172","17055","18859","18572","20203","21497","24811","27708","32411","44837","21216","39424","13188","25320","11673","23662","8790","24021","3817","15355","592","4976","0","32","1","0","0","0","20180203"
"201801","2호선","왕십리(성동구청)","546","17","7289","1152","11251","6949","31201","12387","52720","32512","34071","22971","22164","17004","22485","18075","27742","20766","29669","22925","28747","22401","29834","23797","32212","26526","40301","35710","48957","60491","31393","49897","29517","28159","33498","23648","32409","23388","21439","16900","3202","6758","4","100","0","0","0","0","20180203"
"201801","2호선","한양대","19","11","1252","471","2634","5582","6349","10475","9589","34132","7282","46000","6332","21622","10171","15171","12472","19252","12559","20487","13602","14897","15693","11646","22654","11038","34403","11361","32079","13315","16435","9704","12326","6201","12660","5753","10457","5796","5923","4091","1323","1361","2","24","0","0","0","0","20180203"
"201801","2호선","뚝섬","48","34","4084","1898","8905","12781","24271","27359","35454","121432","21825","57960","16556","24384","16341","18263","18438","18752","21423","19826","21768","19926","22864","21287","26490","22795","36976","25917","98073","36809","48101","30384","25164","18306","23737","16975","16616","16959","7116","10947","1121","3911","3","96","1","0","0","0","20180203"
"201801","2호선","성수","45","27","5194","4104","11086","30022","26143","67367","36124","268175","27274","94692","22178","37997","23667","29442","26533","28112","31696","31470","34550","31098","37097","31828","43012","32803","70829","36621","192714","45928","98136","38013","48120","22767","43530","19531","31274","17748","14222","12314","1839","7710","5","1374","0","1","0","0","20180203"
