date,emission_factor,Jongno,pm10_rd,MSE
2018-01-02,1,31.532470588235295,40.470588235294116,39.94497353633216
2018-01-02,5,46.61817647058824,40.470588235294116,18.896420555363353
2018-01-02,10,65.80472549019608,40.470588235294116,320.9092552251057
2018-01-02,20,102.37652941176471,40.470588235294116,1916.1727764723184
2018-01-03,1,30.44882638888889,33.770833333333336,5.517865069468563
2018-01-03,5,46.943979166666665,33.770833333333336,86.76588557313363
2018-01-03,10,68.4377638888889,33.770833333333336,600.8980370718558
2018-01-03,20,111.07966666666667,33.770833333333336,2988.327855680555
2018-01-04,1,36.991,40.208333333333336,5.175616888888897
2018-01-04,5,53.920340277777775,40.208333333333336,94.00956722224628
2018-01-04,10,73.7255625,40.208333333333336,561.702325505425
2018-01-04,20,117.91463888888889,40.208333333333336,3019.1349615466825
2018-01-05,1,46.8773125,56.791666666666664,49.1472092710503
2018-01-05,5,64.68730555555555,56.791666666666664,31.17055673186729
2018-01-05,10,88.73240277777778,56.791666666666664,510.10531165981877
2018-01-05,20,127.485125,56.791666666666664,2498.7825255633675
2018-01-06,1,37.73677083333333,44.083333333333336,20.139427783203153
2018-01-06,5,53.13928472222222,44.083333333333336,41.00512777895927
2018-01-06,10,75.77245138888888,44.083333333333336,502.1001015694683
2018-01-06,20,114.85858333333333,44.083333333333336,2504.56800628125
2018-01-07,1,44.67554166666667,54.75,50.74735535503471
2018-01-07,5,60.66900694444445,54.75,17.517321604190798
2018-01-07,10,79.66569444444444,54.75,310.3959148244598
2018-01-07,20,119.86236805555555,54.75,2119.8102369010653
2018-01-08,1,49.248583333333336,56.375,25.392907253472202
2018-01-08,5,65.51654166666667,56.375,41.783892021701405
2018-01-08,10,85.31659722222223,56.375,418.8080248866707
2018-01-08,20,129.63921527777777,56.375,2683.8226201342823
2018-01-09,1,35.90504166666667,34.833333333333336,0.5742793758680557
2018-01-09,5,52.686256944444445,34.833333333333336,159.36344073208426
2018-01-09,10,73.67843055555555,34.833333333333336,754.4707891019481
