ticks,sajikro,yulgokno,jongno,twegero,sejongdaero,samildaero,roadmean
1,21.18490406,20.6099295,21.20103801,21.13580794,21.03841353,21.04210468,20.85
2,21.10241687,20.64009166,20.84502533,20.68533883,20.69527986,21.03394212,20.9
3,21.16624412,20.7580747,20.96804784,20.5000068,21.03979221,20.88531565,20.94
4,18.37382372,18.24780589,18.59086471,18.65063525,18.13103561,18.47036914,18.46
5,18.32570824,18.58279825,18.39760721,18.29498297,18.32549279,18.47322031,18.49
6,18.65946745,18.13503329,18.23755353,18.34235258,18.17738438,18.50747586,18.52
7,25.19554374,25.19867567,24.97495753,25.01101837,25.01954618,25.12857284,25.13
8,24.62202475,25.19216827,24.86306294,25.10666849,24.79165761,25.13241751,25.16
9,24.76498949,24.50888139,24.76650527,27.32522756,24.52463774,24.92169173,25.19
10,27.75631039,27.53430884,27.62705264,30.36145372,28.18621327,27.98041789,28.27
11,27.668516,28.18182989,27.703713,30.96861193,27.68198456,27.89171709,28.26
12,27.56474496,27.87381516,27.77346168,30.99585351,27.96403643,27.78389583,28.25
13,26.62438827,26.78728559,26.74369331,29.6688511,26.93145861,27.06101715,27.24
14,27.03836846,27.12975949,27.01780412,29.39959571,27.11707052,27.10233259,27.25
15,27.00765845,26.58781381,26.75676339,29.26377828,27.1518428,26.5830979,27.23
16,29.74101849,29.76272386,29.93237535,33.10112807,29.9078897,29.72706704,30.28
17,30.12748126,30.05357488,29.65065225,32.67668143,30.13302135,29.55033568,30.28
18,29.7925767,29.77590625,29.53708149,29.60693648,29.66233688,30.04929569,30.28
19,32.54013946,32.36676321,32.29323653,32.02489844,32.4735823,32.65138567,32.82
20,32.46269812,32.57534225,32.61566373,32.0227421,32.57804199,32.69772869,32.82
21,32.0134006,32.19734721,32.38227918,32.66730738,32.23505751,32.59491169,32.82
22,35.37724107,35.67902891,35.54602445,35.29856622,35.48276901,35.42315816,35.85
23,35.56009024,35.00946622,35.20582073,35.36198594,35.48343824,35.63830145,35.85
24,35.25560871,35.62679517,35.11267967,35.69215692,35.34299902,35.338272,35.86
25,39.61860834,39.54635703,39.20486127,39.53517892,39.56642882,39.46102369,39.89
26,39.39665474,39.63340807,39.52381833,39.24399003,39.6235694,39.36597614,39.91
27,39.42094711,39.44076452,39.29881302,39.33467159,39.15415369,39.44437455,39.91
28,26.3541199,26.44184487,26.42166416,26.65794026,26.64867997,44.41234686,26.73
29,26.10203332,26.67513396,26.3393188,26.16586224,26.50186681,44.3269433,26.71
30,26.65366601,26.43376778,26.13362213,26.09023718,26.60344776,44.96939742,26.72
31,19.5188179,19.95786937,20.09541712,20.05324746,19.75975692,34.18822829,20.12
32,19.54824861,20.11627623,20.04707538,19.92014217,19.95331731,33.58749848,20.12
33,19.86715191,19.68753435,20.07445599,19.88208974,19.67513712,33.95129049,20.13
