ticks,sajikro,yulgokno,jongno,twegero,sejongdaero,samildaero,roadmean
1,21.1738758,21.09302782,20.86330282,20.87582012,20.91862406,21.0471216,20.85
2,20.7714651,20.85322918,20.76341316,20.77974021,21.07871975,21.16237173,20.86
3,20.63395582,21.15133477,20.9071588,20.54133051,20.72207757,20.84388261,20.86
4,18.01551585,18.19637102,18.09830865,18.29484343,18.47750116,18.53504371,18.36
5,18.66934109,18.00963703,18.52290717,18.226105,18.26602434,18.12363616,18.36
6,18.03143091,18.57898808,18.19068986,18.14359605,18.00467661,18.33451342,18.36
7,25.10831823,24.75660351,24.99500544,25.10099743,24.84563986,24.88220357,24.86
8,24.84486117,24.713743,24.97174529,24.96003623,24.53145961,25.12900193,24.87
9,25.12286233,24.92316932,24.69996942,24.82777919,24.55397538,24.69391321,24.87
10,27.9593777,27.55304324,27.80950481,28.00931906,27.73657334,27.83499573,27.87
11,27.7951724,28.16468742,27.91454703,28.09029855,27.69816291,28.17446903,27.87
12,28.13921038,27.66596331,27.78224689,27.94141464,27.57415035,28.11078364,27.87
13,26.73923519,26.94130076,26.98191283,26.9167503,27.16771447,26.58043403,26.86
14,26.72733185,26.52135674,26.5549196,26.62625307,27.15101549,26.74652644,26.86
15,27.15391132,27.19509938,27.06631583,26.63764811,26.62725377,26.51239285,26.86
16,29.54744432,29.56596017,29.92905063,29.72665063,29.7376177,30.10332645,29.86
17,29.64135433,29.50146365,30.01119783,29.91303626,29.79785369,30.09840784,29.86
18,29.73126258,29.56435087,29.85954321,29.7219819,30.0523709,29.85768147,29.86
19,32.55474503,32.64448311,32.30160256,32.35395888,32.06655025,32.41132805,32.36
20,32.00179643,32.53023459,32.3550854,32.371788,32.69127143,32.09119531,32.37
21,32.53375965,32.65486533,32.69313446,32.19188467,32.24444461,32.37054287,32.37
22,35.38098009,35.43534856,35.54830634,35.23359069,35.35335222,35.35184362,35.37
23,35.66913102,35.2369479,35.34912486,35.05953191,35.63048875,35.52723865,35.37
24,35.2479775,35.40110097,35.43722036,35.48694902,35.38403613,35.68679855,35.38
25,39.55402911,39.54554516,39.501286,39.09970936,39.38682046,39.50880151,39.38
26,39.41029436,39.6425799,39.36839419,39.60360565,39.39098087,39.37979446,39.39
27,39.60734904,39.44757494,39.12469056,39.37567074,39.07216817,39.24924867,39.39
28,26.02588602,26.51619757,26.66383047,26.0491286,26.29838147,26.03362887,26.38
29,26.40931019,26.49379094,26.06862919,26.03220466,26.25107854,26.43488655,26.38
30,26.60847601,26.57654688,26.58294524,26.34505429,26.69434142,26.44945756,26.38
31,20.09275105,20.11120802,19.5171201,19.73682444,19.72734022,20.12812574,19.88
32,19.79496238,20.17576055,20.11028078,19.86722939,20.20096905,19.52807741,19.87
33,19.67644154,20.20484031,20.05509711,19.70883881,19.71706261,19.95129348,19.87
34,18.03756606,18.10194176,18.07238784,18.57796293,18.13016476,18.05434345,18.37
35,18.24799507,18.11944436,18.25164936,18.58576417,18.11518718,18.66659847,18.37
36,18.41128085,18.4255504,18.63468543,18.07444963,18.20567628,18.50658229,18.37
37,12.6024124,13.02806929,12.90949462,12.58532912,12.52320617,13.17666994,12.86
38,13.14747753,12.90333719,13.17963398,12.94169968,12.60370524,12.92970234,12.86
39,13.2008023,12.87966286,13.07540731,12.7409931,13.15123903,13.06866216,12.86
40,17.59693462,18.14494348,17.69454049,17.6906636,17.77115945,17.92548762,17.87
41,17.88612849,17.75432956,18.02196704,17.55389038,17.96740918,17.65046194,17.87
42,18.02145816,17.58139486,17.63809972,17.52374582,18.10578683,17.97332289,17.86
43,19.56859369,19.2594507,19.48420005,19.25197906,19.43177808,19.568761,19.36
44,19.10822634,19.63919942,19.26448888,19.39761351,19.54717738,19.53243933,19.36
45,19.57682,19.39719081,20.99384882,19.64181778,19.49471659,19.30246965,19.37
46,18.87862401,18.90522333,20.38457232,18.87491118,18.87697,18.50578588,18.87
47,18.56501948,19.03639571,19.05500577,18.55588092,18.53231772,19.03728104,18.87
48,18.76602938,19.10771367,19.1147761,18.87662678,18.85754164,18.7470489,18.87
49,21.86538754,22.12347886,21.70523828,22.02679836,21.66550022,21.75844175,21.87
50,21.5908342,21.80467766,21.63779405,21.75362871,21.81141797,21.90901073,21.87
51,21.84463986,22.00544769,21.75469251,21.52493153,21.69176681,22.05938238,21.87
52,28.90793013,28.5827907,28.54450207,28.50197476,28.97605202,28.91953124,28.88
53,28.51681262,28.61975692,28.9794191,28.90544021,28.57260753,28.81863438,28.88
54,28.98702176,28.55396069,28.91551731,29.13971594,29.12761178,28.54203851,28.88
55,35.87971391,35.53775779,35.6130091,35.79027436,35.55229969,35.73487547,35.89
56,36.01125081,35.5601549,36.10102909,36.16568748,36.07885212,35.69338118,35.89
57,35.62852139,35.99271136,36.07745935,35.81023325,35.7795344,35.86614075,35.89
58,45.68414039,45.69450656,45.4286663,45.67301887,45.05977996,45.67414899,45.39
59,45.37156098,50.15066552,45.22077493,45.39585466,45.54049144,45.47725379,45.41
60,45.47000334,49.50747859,45.55821741,45.45789904,45.65525999,45.43185774,45.41
61,48.14881947,47.51086544,47.59913744,48.0162674,47.62891149,47.58591812,47.9
62,47.78642697,47.82868534,48.1889695,47.87565891,47.75543398,47.78876104,47.89
63,47.72244485,52.94447279,47.82811731,47.60380143,48.03204392,47.62324069,47.88
64,49.60918829,54.28807088,49.23987278,53.97896045,49.47963994,49.37849764,49.38
65,49.52909227,49.67436844,49.20862357,54.01675584,49.08269288,49.32619373,49.39
66,49.52865435,49.57590825,49.36173419,49.19613438,49.22549455,49.3652592,49.39
67,52.51227475,53.16448178,52.52010902,52.85934358,52.60079862,52.86160251,52.89
68,52.80365557,52.89502877,52.5437675,52.7896671,52.77909775,53.12096565,52.89
69,53.14240033,52.77626469,52.64393706,52.77470284,53.13003413,52.96359004,52.89
70,51.67281963,52.11660715,51.55839533,52.17439482,51.98620231,52.14561556,51.89
71,51.88281638,51.58239425,51.93277167,51.75177525,52.08222488,51.87621932,51.88
72,52.182452,52.17263631,51.86824525,51.54197947,52.05345025,51.73115967,51.88
73,52.63271674,52.85925859,53.17287082,52.51031793,52.874354,52.9522126,52.87
74,52.50718783,58.19144164,52.91446587,52.50233958,52.9607804,52.99326216,52.87
75,52.89134408,58.27680635,52.78947167,53.15884813,53.1767676,52.52913846,52.87
76,53.59392424,53.62580945,53.19394846,53.52503923,53.50939388,53.63699342,53.37
77,53.54621074,53.67291108,58.55744287,53.35130919,53.03988972,53.29805508,53.37
78,53.66324758,53.12684246,58.39511998,53.4586045,53.5351781,53.15797443,53.37
79,57.72248766,57.61627742,57.82676151,57.69780976,57.53645816,58.13214169,57.87
80,57.7498607,57.6258374,57.96777216,57.70305572,57.91167231,57.51939403,57.87
81,57.60256096,58.01647228,63.30773524,57.74548244,58.08885712,58.19716495,57.88
82,55.34583196,55.01327666,60.59064766,55.14169571,55.70643546,55.6933469,55.37
83,55.5133979,55.67949666,55.1059288,55.55199228,55.61285203,55.13845656,55.37
84,55.63959346,55.31858497,55.1448086,55.24308956,55.19143317,55.1171869,55.37
85,55.39842339,55.10459851,55.7017757,55.08962848,55.26634212,55.30238381,55.37
86,55.10645005,55.3701984,55.53687587,55.07347149,55.48860187,55.48738842,55.37
87,55.05870194,60.533079,55.10129585,55.18128197,55.61473783,55.56390676,55.37
88,54.62103637,59.5031347,54.13442687,54.42377196,54.36608631,54.67984961,54.37
89,54.1375732,54.54084026,54.26534217,54.03994141,54.59417172,54.53412247,54.37
90,54.40497549,54.45032898,54.06189103,54.05411866,54.06638957,54.31238336,54.37
91,57.75139018,58.08521576,63.96989973,57.9873789,57.50484147,57.65447415,57.88
92,58.08269797,57.72509842,63.4850847,58.19817412,57.50522104,57.53287599,57.88
93,58.05236932,58.1487542,58.02732719,57.58371955,57.95769009,58.18941889,57.88
94,63.04435658,62.95293366,62.94168561,62.85983065,62.97141221,62.70803021,62.89
95,62.68635573,62.54093414,62.71264886,62.63637427,62.6902453,62.64965267,62.9
96,63.1454047,62.6137026,62.86829193,62.90270581,62.95004123,62.95778087,62.91
97,70.58387865,70.69683155,70.79036668,71.19738102,70.98193044,70.85836791,70.92
98,70.98021185,70.96855557,70.60335341,70.93213521,70.55820632,70.55965037,70.92
99,71.10120948,70.93377372,70.73898231,71.07043084,70.87072008,70.84699714,70.93
100,66.45937949,66.08045023,66.15825258,66.31002099,66.08435561,66.52552972,66.41
101,66.31944234,66.3903039,66.11413215,66.62217501,66.16568617,66.51802332,66.42
102,66.55199683,66.24845721,66.69856781,66.37179806,66.11019275,66.35235369,66.41
103,42.31607013,42.62902026,42.41989813,42.37047569,42.23421109,42.05518917,42.38
104,42.31464577,42.42407007,42.32377642,42.03075057,42.52285069,42.13917895,42.38
105,42.31262293,42.65820975,42.01441918,42.4541704,42.05185588,42.50195982,42.38
106,31.31330483,31.21906732,31.43973128,31.17717365,31.21373536,31.53709402,31.37
107,31.1974998,31.31820076,31.15254424,31.06567824,31.17572033,31.67175606,31.37
108,31.69408357,31.51237477,31.19328355,31.04257691,31.03875668,31.02452186,31.38
109,24.41994741,24.67176729,24.23534789,24.70033729,24.14733553,24.24270662,24.38
110,24.29721391,24.69041684,24.43562139,24.26269641,24.377182,24.03753995,24.38
111,24.36115466,24.15205368,24.27966206,24.28625448,24.24078008,24.3319595,24.38
112,21.15715077,21.32352338,21.41401494,21.27329249,21.14370702,21.2758601,21.37
113,21.21560536,21.48849368,21.22506232,21.59361078,21.59044859,21.54565175,21.37
114,21.05459086,21.48482389,21.56133211,21.6245841,21.31612514,21.17284844,21.37
115,19.04474541,19.59258346,19.5759275,19.25809932,19.09139547,19.59506646,19.37
116,19.11465472,19.10541399,19.3286022,19.02634743,19.36954398,19.02581216,19.37
117,19.58304684,19.16141152,19.04291259,19.17954055,19.45751714,19.11948192,19.37
118,20.3069126,20.06352245,20.64186881,20.51507998,20.02717078,20.10438186,20.37
119,20.22218215,20.46196953,20.05949052,20.12879655,20.60380504,20.65235598,20.37
120,20.62036934,20.18986362,20.60861292,20.39055388,20.06097402,20.31260063,20.37
121,21.8240034,21.56331674,21.58357038,21.73171286,22.08598028,21.62841535,21.87
122,21.89436807,22.20692187,21.73470489,21.65623489,22.19307465,21.936654,21.87
123,21.92258013,21.9558189,21.73083215,21.73144355,21.79195115,21.70896314,21.87
124,25.18926767,25.08339043,25.08112278,25.37435835,25.33228747,25.07916965,25.37
125,25.64421707,25.29451132,25.69963977,25.18990201,25.01647101,25.35596151,25.37
126,25.65540404,25.58342278,25.69355327,25.13076966,25.16268192,25.56442188,25.38
127,32.5698075,32.43802651,32.04578896,32.3068825,32.15438785,32.03155779,32.39
128,32.14725502,32.65106707,32.31461978,32.52911509,32.58315909,32.26023781,32.39
129,32.04041902,32.37509323,35.89485574,32.4949237,32.22304832,32.24476371,32.39
130,24.75553148,24.98152883,27.04783822,25.11386296,24.55389327,24.67650517,24.89
131,24.9485627,25.05149085,24.72840573,25.00232998,25.02992216,24.96897394,24.89
132,24.51455698,24.83179116,24.62842089,24.66668893,24.93459827,24.76714919,24.88
133,22.15337239,21.70305756,22.00151516,21.98178695,21.73756973,21.86610328,21.87
134,22.00417942,21.7501606,21.58637831,21.8398703,22.14294725,21.66706932,21.88
135,22.18537262,21.8526832,22.20351389,21.95990257,21.93539757,22.12505409,21.88
136,19.70801203,19.81719485,19.83469986,19.80288632,19.62233694,19.51052456,19.88
137,19.98627523,19.83579773,19.60979592,19.59300104,19.73607076,19.87579057,19.88
138,19.92150934,19.53988991,20.10169831,19.78292424,19.86172211,19.54772498,19.88
139,22.12309351,21.7090941,21.70060444,21.96086418,22.0298439,22.07447628,21.88
140,21.55567904,21.56704534,21.67668172,22.02721606,21.9519891,21.62545655,21.88
141,21.93155172,21.8622947,22.06894135,22.09963004,21.83024989,21.65709692,21.88
142,13.58479328,13.55526224,13.23536679,13.62082222,13.25502348,13.45028425,13.36
143,13.00916877,13.28738494,13.66342448,13.31532832,13.68179341,13.13507231,13.36
