ticks,sajikro,yulgokno,jongno,twegero,sejongdaero,samildaero,roadmean
1,20.76136053,20.86904368,21.20215831,20.88404814,20.60537569,20.79306019,20.85
2,20.63115695,21.07379299,20.67139501,20.60377769,20.82115788,20.60220203,20.89
3,20.63536858,20.99649571,21.19065616,21.15035202,20.97922325,20.87337398,20.93
4,18.48261559,18.56832281,18.68217749,18.08133408,18.40766616,18.43942987,18.45
5,18.46968218,18.56340816,18.66592298,18.00720629,18.58233696,18.03930163,18.48
6,18.55665562,18.62234612,18.5779444,18.21330179,18.32679352,18.20147414,18.52
7,24.7131343,24.93740841,24.80893169,24.65269789,25.17369954,24.76457861,25.12
8,24.55243341,24.62482459,25.10291748,24.5328096,24.8560365,25.0169603,25.15
9,24.80819834,24.5370409,25.07532901,25.08879894,24.85904044,24.59551045,25.17
10,28.03009496,27.67279988,27.91417894,27.63210078,28.0939773,27.80675473,28.2
11,27.75219319,27.7894374,27.73077589,27.74743663,27.98730144,28.04155651,28.2
12,28.18035787,27.77843627,27.94967116,27.56354665,27.80243087,28.01221753,28.19
13,26.55380363,27.10623834,26.65715295,26.55985095,26.75592467,26.67009073,27.18
14,26.79544065,26.66200508,26.9801175,26.91299206,26.70524127,26.81359576,27.17
15,26.96434045,26.72212542,26.81229535,26.95110027,26.97965393,27.08554008,27.15
16,29.75870782,29.72054216,30.01392484,29.82119009,29.8418236,30.16991705,30.18
17,29.54121984,30.1111792,29.72226607,29.76087246,29.78442554,29.71886756,30.2
18,29.59059102,29.83801481,29.55685723,29.89162557,29.64763494,30.17920489,30.19
19,32.55244865,32.68538549,32.66399195,32.59363993,32.52208078,32.59623992,32.71
20,32.08292201,32.44003573,32.21303038,32.54844959,32.70405546,32.49311207,32.69
21,32.17443016,32.41600111,32.0105021,32.55497103,32.66614015,32.1945622,32.7
22,35.66252282,35.10610674,35.06004846,35.17129737,35.56937974,35.22731691,35.73
23,35.27214182,35.367416,35.02071735,35.06198525,35.23613761,35.43808687,35.74
24,35.20529528,35.21119577,35.42785918,35.14967034,35.56773766,35.5680622,35.74
25,39.40107189,39.14461629,39.06859195,39.38493846,39.53283501,39.31917629,39.81
26,39.49188165,39.12351067,39.10386624,39.57453853,39.62013198,39.26252112,39.81
27,39.6101633,39.11818639,39.43414573,39.18665329,39.36433761,39.12767838,39.83
28,26.52836727,26.49377171,26.64064882,26.16853112,26.42470262,26.38878701,26.67
29,26.32961344,44.35867505,26.13506995,26.41233444,26.15779689,26.09569893,26.67
30,26.06849364,44.41206489,26.27436355,26.01990733,26.47592169,26.19759635,26.67
31,20.01602295,33.85525839,19.5651912,20.20363761,19.80711229,20.04699313,20.09
32,19.62303196,34.00053431,19.67592972,20.17750262,19.97689416,19.58448874,20.09
33,19.71755766,34.20174369,19.91555816,19.65399272,19.84332838,19.5101095,20.08
34,18.34283671,30.81731095,18.6614021,18.6098367,18.17777324,18.30939216,18.57
35,18.67559681,31.77089071,18.62639795,18.05748411,18.01403226,18.26103321,18.57
36,18.47926475,31.21624279,18.45639824,18.55444668,18.22668488,18.23501413,18.57
37,13.20583574,13.12973619,12.83032665,12.5789293,12.84696552,12.71096687,13.01
38,12.6799054,12.72003417,12.75319099,13.10426806,12.68850559,13.02790987,13
39,12.98655104,12.92353281,12.8448941,12.58588169,12.96464424,12.82247206,13
40,17.92909937,17.57168256,17.98744142,17.61407133,17.59778197,17.64261695,18.06
41,18.14542261,19.34944187,18.09033346,18.18447047,17.85437881,17.91546938,18.05
42,17.57849813,19.62511361,18.08117564,18.17111967,18.02796512,17.97675167,18.05
43,19.03474192,21.17239546,19.56044262,19.11837767,19.08845639,19.06487712,19.56
44,19.51846103,21.05007827,19.14803005,19.55220154,19.39279285,19.67091811,19.56
45,19.07035792,21.0250665,19.32555161,19.65833808,19.16212788,19.46568553,19.56
46,18.59246965,20.91152257,18.55320938,18.83083466,18.82223533,19.08849591,19.05
47,18.54412769,20.40342013,18.84815179,19.19857147,18.78297715,19.02159835,19.04
48,18.7186872,20.64002298,18.89697944,18.91955273,19.13902697,18.60439363,19.04
49,22.08291269,21.51716926,21.75455042,21.57995671,21.67659787,22.07836758,22.07
50,22.19727368,21.63867821,21.77851443,22.05511835,22.12734771,22.03061684,22.07
51,22.09587715,22.1774946,21.94850141,22.14193466,21.70614712,22.00122347,22.07
52,29.02513252,28.85115541,29.06304149,28.58150363,28.60733907,28.7480418,29.15
53,28.50235368,31.75301039,29.20529908,28.89395147,28.53356558,28.65200653,29.15
54,29.12392128,32.10815926,29.18506677,28.61293511,28.99815856,29.12963365,29.16
55,36.15658717,60.82502212,35.65499321,35.71301381,35.94064891,36.16676417,36.25
56,35.78947578,60.65085065,35.86219479,35.54550171,36.09223424,35.61448437,36.25
57,35.80171254,60.7688645,35.5414998,35.80306829,35.90348425,35.80672541,36.25
58,45.38993271,77.00966778,45.5981516,45.11010765,45.20548802,76.614367,45.87
59,45.56259532,77.43698182,45.15324615,45.55889044,45.35237909,77.62809428,45.87
60,45.6189333,76.69310765,45.43768384,45.30708607,45.0693572,76.90671691,45.87
61,47.9986,48.03243414,47.66173749,47.69386791,47.88878634,81.55724963,48.41
62,47.54545233,48.15060138,48.11632169,47.54108374,48.03300335,81.86350076,48.4
63,47.57068518,48.0570305,47.55674211,48.15347811,48.16980915,81.69350648,48.38
64,49.26646706,54.64583592,49.33018564,49.56848789,49.36323433,83.99799921,49.91
65,49.1674601,54.15580211,49.22923712,49.2000122,49.12444983,84.02922484,49.9
66,49.10335654,54.55089682,49.48198981,49.59323983,49.50370626,49.69530517,49.9
67,52.60320144,58.41292478,52.52199452,53.07810994,52.61933618,52.52379494,53.42
68,53.10744959,58.05452683,53.19593991,53.05394904,52.9591335,52.59115335,53.42
69,52.6797431,58.46126922,52.68713337,52.74503023,52.64833975,52.54333279,53.4
70,51.56695469,56.97989672,51.68950601,51.77404123,52.12684342,52.1336558,52.38
71,51.78547447,56.6712629,52.06963112,51.93608289,51.98366907,52.12182811,52.39
72,52.18053959,51.56273318,52.01338056,51.52936379,52.125113,52.12576675,52.37
73,52.57054067,52.53942013,53.05107421,52.5760403,52.76102729,53.10623604,53.36
74,52.91482355,52.98706833,52.76743872,52.85046983,53.19702304,52.70837607,53.35
75,52.86395504,53.12927844,52.59378196,53.15749024,52.5274416,53.03517292,53.34
76,53.32857406,53.68452318,53.28962427,53.12098967,53.65835027,53.6017755,53.81
77,53.0619143,53.332081,53.44761535,53.03753264,53.12617593,53.12779333,53.8
78,53.61042736,53.6527402,53.33951846,53.32636305,53.31609371,53.56466446,53.79
79,58.07872228,57.73171492,57.51351658,57.82639899,57.64865191,57.84824832,58.31
