"type","date","hour","no2_mean","no2_sd"
"Back",2018-01-06,14,28.5,7.77817459305202
"Back",2018-01-06,15,30.5,4.94974746830583
"Back",2018-01-06,16,29,7.07106781186548
"Back",2018-01-06,17,34.5,7.77817459305202
"Back",2018-01-06,18,38,1.4142135623731
"Back",2018-01-06,19,43,2.82842712474619
"Back",2018-01-06,20,49,2.82842712474619
"Back",2018-01-06,21,54,1.4142135623731
"Back",2018-01-06,22,53.5,0.707106781186548
"Back",2018-01-06,23,51,2.82842712474619
"Back",2018-01-07,0,58,8.48528137423857
"Back",2018-01-07,1,61,9.89949493661167
"Back",2018-01-07,2,58,11.3137084989848
"Back",2018-01-07,3,56,4.24264068711928
"Back",2018-01-07,4,53.5,6.36396103067893
"Back",2018-01-07,5,53,5.65685424949238
"Back",2018-01-07,6,49.5,4.94974746830583
"Back",2018-01-07,7,49,4.24264068711928
"Back",2018-01-07,8,49,4.24264068711928
"Back",2018-01-07,9,47.5,4.94974746830583
"Back",2018-01-07,10,43.5,2.12132034355964
"Back",2018-01-07,11,37.5,3.53553390593274
"Back",2018-01-07,12,43,1.4142135623731
"Back",2018-01-07,13,48,1.4142135623731
"Back",2018-01-07,14,50.5,2.12132034355964
"Back",2018-01-07,15,50,1.4142135623731
"Back",2018-01-07,16,53,2.82842712474619
"Back",2018-01-07,17,50.5,0.707106781186548
"Back",2018-01-07,18,51.5,0.707106781186548
"Back",2018-01-07,19,51,1.4142135623731
"Back",2018-01-07,20,53,2.82842712474619
"Back",2018-01-07,21,56,2.82842712474619
"Back",2018-01-07,22,56,4.24264068711928
"Back",2018-01-07,23,58,5.65685424949238
"Back",2018-01-08,0,58.5,3.53553390593274
"Back",2018-01-08,1,61,5.65685424949238
"Back",2018-01-08,2,62,5.65685424949238
"Back",2018-01-08,3,56.5,3.53553390593274
"Back",2018-01-08,4,50.5,0.707106781186548
"Back",2018-01-08,5,52.5,3.53553390593274
"Back",2018-01-08,6,51,7.07106781186548
"Back",2018-01-08,7,53,2.82842712474619
"Back",2018-01-08,8,54.5,2.12132034355964
"Back",2018-01-08,9,61.5,2.12132034355964
"Back",2018-01-08,10,62.5,9.19238815542512
"Back",2018-01-08,11,56,5.65685424949238
"Back",2018-01-08,12,54,5.65685424949238
"Back",2018-01-08,13,56,0
"Back",2018-01-08,14,62,1.4142135623731
"Back",2018-01-08,15,67,7.07106781186548
"Back",2018-01-08,16,60,5.65685424949238
"Back",2018-01-08,17,56,0
"Back",2018-01-08,18,50,8.48528137423857
"Back",2018-01-08,19,41,2.82842712474619
"Back",2018-01-08,20,47,1.4142135623731
"Back",2018-01-08,21,32,4.24264068711928
"Back",2018-01-08,22,15.5,0.707106781186548
"Back",2018-01-08,23,15,0
"Back",2018-01-09,0,13.5,0.707106781186548
"Back",2018-01-09,1,12,0
"Back",2018-01-09,2,10,1.4142135623731
"Back",2018-01-09,3,11,0
"Back",2018-01-09,4,9.5,0.707106781186548
"Back",2018-01-09,5,8.5,0.707106781186548
"Back",2018-01-09,6,11.5,2.12132034355964
"Back",2018-01-09,7,20.5,2.12132034355964
"Back",2018-01-09,8,31.5,0.707106781186548
"Back",2018-01-09,9,29.5,2.12132034355964
"Back",2018-01-09,10,28.5,4.94974746830583
"Back",2018-01-09,11,20.5,2.12132034355964
"Back",2018-01-09,12,21,8.48528137423857
"Back",2018-01-09,13,15,2.82842712474619
"Back",2018-01-09,14,16.5,6.36396103067893
"Back",2018-01-09,15,18.5,9.19238815542512
"Back",2018-01-09,16,16.5,4.94974746830583
"Back",2018-01-09,17,21,7.07106781186548
"Back",2018-01-09,18,24,5.65685424949238
"Back",2018-01-09,19,22,4.24264068711928
"Back",2018-01-09,20,26,2.82842712474619
"Back",2018-01-09,21,28.5,6.36396103067893
"Back",2018-01-09,22,30,4.24264068711928
"Back",2018-01-09,23,22.5,4.94974746830583
"Back",2018-01-10,0,20.5,4.94974746830583
"Back",2018-01-10,1,18,1.4142135623731
"Back",2018-01-10,2,11,4.24264068711928
"Back",2018-01-10,3,9,1.4142135623731
"Back",2018-01-10,4,10,0
"Back",2018-01-10,5,15,2.82842712474619
"Back",2018-01-10,6,20,4.24264068711928
"Back",2018-01-10,7,19,1.4142135623731
"Back",2018-01-10,8,24.5,2.12132034355964
"Back",2018-01-10,9,25.5,3.53553390593274
"Back",2018-01-10,10,24.5,7.77817459305202
"Back",2018-01-10,11,17.5,6.36396103067893
"Back",2018-01-10,12,14,5.65685424949238
"Back",2018-01-10,13,11,2.82842712474619
"Back",2018-01-10,14,14,7.07106781186548
"Back",2018-01-10,15,14,7.07106781186548
"Back",2018-01-10,16,15,7.07106781186548
"Back",2018-01-10,17,19,2.82842712474619
"Back",2018-01-10,18,18.5,0.707106781186548
"Back",2018-01-10,19,17,1.4142135623731
"Back",2018-01-10,20,20,2.82842712474619
"Back",2018-01-10,21,17,0
"Back",2018-01-10,22,14.5,0.707106781186548
"Back",2018-01-10,23,15.5,3.53553390593274
"Back",2018-01-11,0,16,2.82842712474619
"Back",2018-01-11,1,13.5,0.707106781186548
"Back",2018-01-11,2,11,0
"Back",2018-01-11,3,11,0
"Back",2018-01-11,4,11.5,0.707106781186548
"Back",2018-01-11,5,13,1.4142135623731
"Back",2018-01-11,6,16.5,2.12132034355964
"Back",2018-01-11,7,21.5,2.12132034355964
"Back",2018-01-11,8,26.5,0.707106781186548
"Back",2018-01-11,9,28,4.24264068711928
"Back",2018-01-11,10,21.5,0.707106781186548
"Back",2018-01-11,11,17.5,4.94974746830583
"Back",2018-01-11,12,21,8.48528137423857
"Back",2018-01-11,13,14.5,2.12132034355964
"Back",2018-01-11,14,16.5,6.36396103067893
"Back",2018-01-11,15,17.5,3.53553390593274
"Back",2018-01-11,16,19,5.65685424949238
"Back",2018-01-11,17,20,4.24264068711928
"Back",2018-01-11,18,22,5.65685424949238
"Back",2018-01-11,19,21,5.65685424949238
"Back",2018-01-11,20,21,2.82842712474619
"Back",2018-01-11,21,16,1.4142135623731
"Back",2018-01-11,22,17,0
"Back",2018-01-11,23,15.5,2.12132034355964
"Back",2018-01-12,0,19.5,4.94974746830583
"Back",2018-01-12,1,15,2.82842712474619
"Back",2018-01-12,2,13,2.82842712474619
"Back",2018-01-12,3,8.5,0.707106781186548
"Back",2018-01-12,4,10,1.4142135623731
"Back",2018-01-12,5,10.5,0.707106781186548
"Back",2018-01-12,6,14.5,2.12132034355964
"Back",2018-01-12,7,19.5,0.707106781186548
"Back",2018-01-12,8,22,1.4142135623731
"Back",2018-01-12,9,23.5,0.707106781186548
"Back",2018-01-12,10,24.5,7.77817459305202
"Back",2018-01-12,11,20.5,2.12132034355964
"Back",2018-01-12,12,21,2.82842712474619
"Back",2018-01-12,13,18,1.4142135623731
"Back",2018-01-12,14,23.5,3.53553390593274
"Back",2018-01-12,15,24,7.07106781186548
"Back",2018-01-12,16,28,14.142135623731
"Back",2018-01-12,17,26.5,6.36396103067893
"Back",2018-01-12,18,39,0
"Back",2018-01-12,19,49.5,3.53553390593274
"Back",2018-01-12,20,53.5,2.12132034355964
"Back",2018-01-12,21,56.5,2.12132034355964
"Back",2018-01-12,22,59.5,2.12132034355964
"Back",2018-01-12,23,57.5,4.94974746830583
"Back",2018-01-13,0,56.5,3.53553390593274
"Back",2018-01-13,1,55.5,3.53553390593274
"Back",2018-01-13,2,59,5.65685424949238
"Back",2018-01-13,3,58.5,2.12132034355964
"Back",2018-01-13,4,54.5,3.53553390593274
"Back",2018-01-13,5,51,2.82842712474619
"Back",2018-01-13,6,53,1.4142135623731
"Back",2018-01-13,7,53,1.4142135623731
"Back",2018-01-13,8,53,1.4142135623731
"Back",2018-01-13,9,55,1.4142135623731
"Back",2018-01-13,10,54,1.4142135623731
"Back",2018-01-13,11,52,0
"Back",2018-01-13,12,47,1.4142135623731
"Back",2018-01-13,13,46,0
"Back",2018-01-13,14,43.5,0.707106781186548
"Back",2018-01-13,15,49.5,0.707106781186548
"Back",2018-01-13,16,52,0
"Back",2018-01-13,17,54.5,0.707106781186548
"Back",2018-01-13,18,56,0
"Back",2018-01-13,19,60.5,0.707106781186548
"Back",2018-01-13,20,63.5,6.36396103067893
"Back",2018-01-13,21,61.5,0.707106781186548
"Back",2018-01-13,22,59.5,0.707106781186548
"Back",2018-01-13,23,59,2.82842712474619
"Back",2018-01-14,0,56,1.4142135623731
"Back",2018-01-14,1,53,2.82842712474619
"Back",2018-01-14,2,47,1.4142135623731
"Back",2018-01-14,3,42,2.82842712474619
"Back",2018-01-14,4,38,2.82842712474619
"Back",2018-01-14,5,39,4.24264068711928
"Back",2018-01-14,6,39,4.24264068711928
"Back",2018-01-14,7,42,2.82842712474619
"Back",2018-01-14,8,41.5,2.12132034355964
"Back",2018-01-14,9,38.5,0.707106781186548
"Back",2018-01-14,10,34,0
"Back",2018-01-14,11,30.5,0.707106781186548
"Back",2018-01-14,12,36,2.82842712474619
"Back",2018-01-14,13,39.5,2.12132034355964
"Back",2018-01-14,14,40.5,3.53553390593274
"Back",2018-01-14,15,40,4.24264068711928
"Back",2018-01-14,16,35,1.4142135623731
"Back",2018-01-14,17,33.5,4.94974746830583
"Back",2018-01-14,18,44,1.4142135623731
"Back",2018-01-14,19,51.5,2.12132034355964
"Back",2018-01-14,20,54.5,7.77817459305202
"Back",2018-01-14,21,65.5,4.94974746830583
"Back",2018-01-14,22,66.5,0.707106781186548
"Back",2018-01-14,23,67.5,0.707106781186548
"Back",2018-01-15,0,66,4.24264068711928
"Back",2018-01-15,1,68.5,4.94974746830583
"Back",2018-01-15,2,70.5,10.6066017177982
"Back",2018-01-15,3,64,12.7279220613579
"Back",2018-01-15,4,37.5,2.12132034355964
"Back",2018-01-15,5,27,7.07106781186548
"Back",2018-01-15,6,30,7.07106781186548
"Back",2018-01-15,7,41.5,2.12132034355964
"Back",2018-01-15,8,50,1.4142135623731
"Back",2018-01-15,9,53.5,0.707106781186548
"Back",2018-01-15,10,54.5,0.707106781186548
"Back",2018-01-15,11,42.5,2.12132034355964
"Back",2018-01-15,12,39,1.4142135623731
"Back",2018-01-15,13,36,1.4142135623731
"Back",2018-01-15,14,36,8.48528137423857
"Back",2018-01-15,15,34.5,0.707106781186548
"Back",2018-01-15,16,33.5,3.53553390593274
"Back",2018-01-15,17,38.5,6.36396103067893
"Back",2018-01-15,18,60.5,4.94974746830583
"Back",2018-01-15,19,72.5,0.707106781186548
"Back",2018-01-15,20,71.5,0.707106781186548
"Back",2018-01-15,21,75.5,2.12132034355964
"Back",2018-01-15,22,77,2.82842712474619
"Back",2018-01-15,23,76.5,0.707106781186548
"Back",2018-01-16,0,79,1.4142135623731
"Back",2018-01-16,1,81,2.82842712474619
"Back",2018-01-16,2,78,4.24264068711928
"Back",2018-01-16,3,74,5.65685424949238
"Back",2018-01-16,4,68,4.24264068711928
"Back",2018-01-16,5,68.5,3.53553390593274
"Back",2018-01-16,6,69,1.4142135623731
"Back",2018-01-16,7,67.5,4.94974746830583
"Back",2018-01-16,8,73.5,2.12132034355964
"Back",2018-01-16,9,75.5,2.12132034355964
"Back",2018-01-16,10,80,0
"Back",2018-01-16,11,84.5,3.53553390593274
"Back",2018-01-16,12,88,1.4142135623731
"Back",2018-01-16,13,75.5,2.12132034355964
"Back",2018-01-16,14,65.5,2.12132034355964
"Back",2018-01-16,15,66.5,7.77817459305202
"Back",2018-01-16,16,64,4.24264068711928
"Back",2018-01-16,17,62,2.82842712474619
"Back",2018-01-16,18,74.5,3.53553390593274
"Back",2018-01-16,19,80,1.4142135623731
"Back",2018-01-16,20,79,0
"Back",2018-01-16,21,75.5,3.53553390593274
"Back",2018-01-16,22,74.5,2.12132034355964
"Back",2018-01-16,23,71,4.24264068711928
"Back",2018-01-17,0,70,4.24264068711928
"Back",2018-01-17,1,64,5.65685424949238
"Back",2018-01-17,2,60.5,0.707106781186548
"Back",2018-01-17,3,51,0
"Back",2018-01-17,4,49.5,2.12132034355964
"Back",2018-01-17,5,41,2.82842712474619
"Back",2018-01-17,6,48.5,0.707106781186548
"Back",2018-01-17,7,55.5,0.707106781186548
"Back",2018-01-17,8,53.5,3.53553390593274
"Back",2018-01-17,9,58.5,4.94974746830583
"Back",2018-01-17,10,58.5,12.0208152801713
"Back",2018-01-17,11,54.5,4.94974746830583
"Back",2018-01-17,12,62,5.65685424949238
"Back",2018-01-17,13,62,2.82842712474619
"Back",2018-01-17,14,70.5,0.707106781186548
"Back",2018-01-17,15,57.5,6.36396103067893
"Back",2018-01-17,16,62.5,0.707106781186548
"Back",2018-01-17,17,69,1.4142135623731
"Back",2018-01-17,18,58.5,4.94974746830583
"Back",2018-01-17,19,56,7.07106781186548
"Back",2018-01-17,20,56,0
"Back",2018-01-17,21,45.5,9.19238815542512
"Back",2018-01-17,22,57.5,9.19238815542512
"Back",2018-01-17,23,62.5,7.77817459305202
"Back",2018-01-18,0,68,1.4142135623731
"Back",2018-01-18,1,67,2.82842712474619
"Back",2018-01-18,2,55.5,2.12132034355964
"Back",2018-01-18,3,57,4.24264068711928
"Back",2018-01-18,4,53.5,3.53553390593274
"Back",2018-01-18,5,35,7.07106781186548
"Back",2018-01-18,6,28,0
"Back",2018-01-18,7,33.5,0.707106781186548
"Back",2018-01-18,8,40.5,0.707106781186548
"Back",2018-01-18,9,50.5,0.707106781186548
"Back",2018-01-18,10,43.5,2.12132034355964
"Back",2018-01-18,11,42,1.4142135623731
"Back",2018-01-18,12,43.5,2.12132034355964
"Back",2018-01-18,13,39,1.4142135623731
"Back",2018-01-18,14,33.5,9.19238815542512
"Back",2018-01-18,15,32,11.3137084989848
"Back",2018-01-18,16,27,8.48528137423857
"Back",2018-01-18,17,31,9.89949493661167
"Back",2018-01-18,18,31.5,6.36396103067893
"Back",2018-01-18,19,30,4.24264068711928
"Back",2018-01-18,20,28,1.4142135623731
"Back",2018-01-18,21,33.5,3.53553390593274
"Back",2018-01-18,22,36.5,4.94974746830583
"Back",2018-01-18,23,35.5,2.12132034355964
"Back",2018-01-19,0,26,1.4142135623731
"Back",2018-01-19,1,21.5,0.707106781186548
"Back",2018-01-19,2,18.5,2.12132034355964
"Back",2018-01-19,3,19,1.4142135623731
"Back",2018-01-19,4,19,1.4142135623731
"Back",2018-01-19,5,22.5,0.707106781186548
"Back",2018-01-19,6,35,1.4142135623731
"Back",2018-01-19,7,44.5,2.12132034355964
"Back",2018-01-19,8,43.5,2.12132034355964
"Back",2018-01-19,9,46,1.4142135623731
"Back",2018-01-19,10,46.5,4.94974746830583
"Back",2018-01-19,11,41.5,6.36396103067893
"Back",2018-01-19,12,42,7.07106781186548
"Back",2018-01-19,13,28,8.48528137423857
"Back",2018-01-19,14,23.5,7.77817459305202
"Back",2018-01-19,15,27,5.65685424949238
"Back",2018-01-19,16,24,4.24264068711928
"Back",2018-01-19,17,28,0
"Back",2018-01-19,18,37.5,0.707106781186548
"Back",2018-01-19,19,45,1.4142135623731
"Back",2018-01-19,20,53.5,2.12132034355964
"Back",2018-01-19,21,53,4.24264068711928
"Back",2018-01-19,22,56,9.89949493661167
"Back",2018-01-19,23,60.5,0.707106781186548
"Back",2018-01-20,0,62.5,2.12132034355964
"Back",2018-01-20,1,66,2.82842712474619
"Back",2018-01-20,2,65,5.65685424949238
"Back",2018-01-20,3,65,9.89949493661167
"Back",2018-01-20,4,64.5,7.77817459305202
"Back",2018-01-20,5,64.5,2.12132034355964
"Back",2018-01-20,6,63,0
"Back",2018-01-20,7,58,5.65685424949238
"Back",2018-01-20,8,59,9.89949493661167
"Back",2018-01-20,9,60,7.07106781186548
"Back",2018-01-20,10,56.5,2.12132034355964
"Back",2018-01-20,11,55,9.89949493661167
"Back",2018-01-20,12,51,4.24264068711928
"Back",2018-01-20,13,44,0
"Back",2018-01-20,14,49.5,9.19238815542512
"Back",2018-01-20,15,35.5,7.77817459305202
"Back",2018-01-20,16,34.5,3.53553390593274
"Back",2018-01-20,17,29,4.24264068711928
"Back",2018-01-20,18,43.5,4.94974746830583
"Back",2018-01-20,19,47.5,0.707106781186548
"Back",2018-01-20,20,52.5,0.707106781186548
"Back",2018-01-20,21,38,0
"Back",2018-01-20,22,25,1.4142135623731
"Back",2018-01-20,23,29,8.48528137423857
"Back",2018-01-21,0,50,5.65685424949238
"Back",2018-01-21,1,41,11.3137084989848
"Back",2018-01-21,2,35,4.24264068711928
"Back",2018-01-21,3,39.5,0.707106781186548
"Back",2018-01-21,4,42.5,2.12132034355964
"Back",2018-01-21,5,40,2.82842712474619
"Back",2018-01-21,6,40.5,2.12132034355964
"Back",2018-01-21,7,49,1.4142135623731
"Back",2018-01-21,8,48.5,0.707106781186548
"Back",2018-01-21,9,43.5,0.707106781186548
"Back",2018-01-21,10,40.5,2.12132034355964
"Back",2018-01-21,11,41.5,0.707106781186548
"Back",2018-01-21,12,41,9.89949493661167
"Back",2018-01-21,13,44,1.4142135623731
"Back",2018-01-21,14,36,5.65685424949238
"Back",2018-01-21,15,27,1.4142135623731
"Back",2018-01-21,16,23,1.4142135623731
"Back",2018-01-21,17,24,0
"Back",2018-01-21,18,28.5,4.94974746830583
"Back",2018-01-21,19,28.5,6.36396103067893
"Back",2018-01-21,20,36.5,2.12132034355964
"Back",2018-01-21,21,50.5,4.94974746830583
"Back",2018-01-21,22,50,1.4142135623731
"Back",2018-01-21,23,48,4.24264068711928
"Back",2018-01-22,0,50,4.24264068711928
"Back",2018-01-22,1,50,1.4142135623731
"Back",2018-01-22,2,52,2.82842712474619
"Back",2018-01-22,3,47.5,0.707106781186548
"Back",2018-01-22,4,44.5,2.12132034355964
"Back",2018-01-22,5,40,4.24264068711928
"Back",2018-01-22,6,39.5,4.94974746830583
"Back",2018-01-22,7,48.5,3.53553390593274
"Back",2018-01-22,8,52,1.4142135623731
"Back",2018-01-22,9,54.5,0.707106781186548
"Back",2018-01-22,10,51.5,2.12132034355964
"Back",2018-01-22,11,45,1.4142135623731
"Back",2018-01-22,12,49.5,0.707106781186548
"Back",2018-01-22,13,58.5,0.707106781186548
"Back",2018-01-22,14,58.5,2.12132034355964
"Back",2018-01-22,15,58.5,2.12132034355964
"Back",2018-01-22,16,52.5,4.94974746830583
"Back",2018-01-22,17,57.5,3.53553390593274
"Back",2018-01-22,18,59,0
"Back",2018-01-22,19,56.5,3.53553390593274
"Back",2018-01-22,20,33.5,7.77817459305202
"Back",2018-01-22,21,22.5,0.707106781186548
"Back",2018-01-22,22,23.5,0.707106781186548
"Back",2018-01-22,23,22,2.82842712474619
"Back",2018-01-23,0,14.5,3.53553390593274
"Back",2018-01-23,1,13,1.4142135623731
"Back",2018-01-23,2,9.5,0.707106781186548
"Back",2018-01-23,3,9.5,0.707106781186548
"Back",2018-01-23,4,10,0
"Back",2018-01-23,5,9,0
"Back",2018-01-23,6,10.5,0.707106781186548
"Back",2018-01-23,7,12.5,0.707106781186548
"Back",2018-01-23,8,17,0
"Back",2018-01-23,9,19,0
"Back",2018-01-23,10,18,2.82842712474619
"Back",2018-01-23,11,17.5,2.12132034355964
"Back",2018-01-23,12,14.5,6.36396103067893
"Back",2018-01-23,13,10,2.82842712474619
"Back",2018-01-23,14,12,4.24264068711928
"Back",2018-01-23,15,14,5.65685424949238
"Back",2018-01-23,16,12.5,4.94974746830583
"Back",2018-01-23,17,13.5,2.12132034355964
"Back",2018-01-23,18,16.5,2.12132034355964
"Back",2018-01-23,19,22,2.82842712474619
"Back",2018-01-23,20,22.5,2.12132034355964
"Back",2018-01-23,21,18,1.4142135623731
"Back",2018-01-23,22,15.5,0.707106781186548
"Back",2018-01-23,23,13,1.4142135623731
"Back",2018-01-24,0,10.5,0.707106781186548
"Back",2018-01-24,1,10,1.4142135623731
"Back",2018-01-24,2,9.5,0.707106781186548
"Back",2018-01-24,3,9,0
"Back",2018-01-24,4,8.5,0.707106781186548
"Back",2018-01-24,5,8,0
"Back",2018-01-24,6,11.5,2.12132034355964
"Back",2018-01-24,7,13.5,0.707106781186548
"Back",2018-01-24,8,15,0
"Back",2018-01-24,9,18.5,2.12132034355964
"Back",2018-01-24,10,17,1.4142135623731
"Back",2018-01-24,11,14.5,4.94974746830583
"Back",2018-01-24,12,14,5.65685424949238
"Back",2018-01-24,13,9,2.82842712474619
"Back",2018-01-24,14,11,2.82842712474619
"Back",2018-01-24,15,11.5,2.12132034355964
"Back",2018-01-24,16,13.5,4.94974746830583
"Back",2018-01-24,17,14,4.24264068711928
"Back",2018-01-24,18,16,4.24264068711928
"Back",2018-01-24,19,19.5,2.12132034355964
"Back",2018-01-24,20,23,4.24264068711928
"Back",2018-01-24,21,20,5.65685424949238
"Back",2018-01-24,22,19.5,2.12132034355964
"Back",2018-01-24,23,17.5,3.53553390593274
"Back",2018-01-25,0,13,1.4142135623731
"Back",2018-01-25,1,14.5,2.12132034355964
"Back",2018-01-25,2,12,0
"Back",2018-01-25,3,10.5,0.707106781186548
"Back",2018-01-25,4,11.5,0.707106781186548
"Back",2018-01-25,5,14,1.4142135623731
"Back",2018-01-25,6,13,2.82842712474619
"Back",2018-01-25,7,13.5,2.12132034355964
"Back",2018-01-25,8,23,1.4142135623731
"Back",2018-01-25,9,22,4.24264068711928
"Back",2018-01-25,10,19.5,3.53553390593274
"Back",2018-01-25,11,18,2.82842712474619
"Back",2018-01-25,12,15.5,0.707106781186548
"Back",2018-01-25,13,14.5,2.12132034355964
"Back",2018-01-25,14,14.5,3.53553390593274
"Back",2018-01-25,15,15.5,3.53553390593274
"Back",2018-01-25,16,15.5,2.12132034355964
